"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Romania","ROU","CO2 emissions (kt)","EN.ATM.CO2E.KT","53450.192","55775.07","63879.14","69529.987","72115.222","78723.156","84183.319","92129.708","100189.774","111649.149","120112.585","125829.438","132422.704","144960.177","150944.721","162257.416","174765.553","178399.55","193903.626","196074.49","196617.206","198153.679","195773.796","200562.898","189272.205","194343.666","202147.042","212165.286","212777.675","214141.799","172630","142380","125990","117640","115090","120730","123950","113420","99390","85500","88880","94110","93590","99620","96730","95810","98940","96440","95210","80520","77500","83950","81730","72010","71410","72900","71140","74100","74880","","",
"Russian Federation","RUS","CO2 emissions (kt)","EN.ATM.CO2E.KT","1448637.349","1493932.133","1567950.528","1681524.852","1788304.225","1897052.777","2003392.11","2094843.423","2153698.773","2242938.885","2359142.448","2503944.944","2634955.853","2746751.682","2851891.906","2998311.549","3113979.73","3220146.714","3330904.782","3358623.635","3491017.003","3425062.341","3489821.561","3539850.442","3571709.338","3851989.149","3862509.772","3847244.051","3950345.423","3862616.115","2164870","2141420","2005430","1821790","1612870","1564900","1534380","1427060","1418510","1456150","1489500","1490530","1491720","1522190","1534120","1530850","1590090","1591510","1613140","1495170","1583160","1661780","1666860","1624020","1606860","1557530","1530900","1557190","1607550","","",
"Rwanda","RWA","CO2 emissions (kt)","EN.ATM.CO2E.KT","106.343","139.346","84.341","84.341","36.67","47.671","44.004","40.337","55.005","58.672","58.672","62.339","66.006","69.673","73.34","176.016","267.691","267.691","289.693","297.027","495.045","601.388","608.722","696.73","634.391","616.056","597.721","616.056","696.73","689.396","520","470","480","480","460","450","460","480","480","500","520","520","520","510","520","510","510","540","530","560","570","650","720","780","810","930","1050","1050","1080","","",
"South Asia","SAS","CO2 emissions (kt)","EN.ATM.CO2E.KT","151649.509547476","162628.82549237","179024.45728583","194459.307256458","191987.677681689","209773.142722683","216370.266765723","219835.682119072","241537.616575278","244379.623875643","249322.883025181","257320.724","245637.662","254691.485","263356.606","285677.635","297283.69","314921.96","321225.533","338423.763","359501.679","387715.577","402746.61","435192.226","447627.023","492357.089","526174.163","562132.765","606881.166","660778.732","643080","686710","717340","747010","786940","849830","891420","942110","961900","1037180","1075940","1095440","1133540","1167850","1254230","1312050","1400870","1540250","1629080","1781870","1884320","1991420","2145490","2203550","2389180","2422620","2479230","2622720","2770040","","",
"Saudi Arabia","SAU","CO2 emissions (kt)","EN.ATM.CO2E.KT","2676.91","3571.658","6255.902","6945.298","7047.974","4220.717","6413.583","25507.652","29104.979","35302.209","45291.117","59808.77","70344.061","95136.648","98788.98","83336.242","101550.231","118176.409","115132.799","138135.89","169404.399","175491.619","158091.704","161050.973","155715.488","172653.361","204878.957","190706.002","202554.079","203738.52","166390","186610","199350","206210","218790","222400","234090","214930","230410","234530","244340","248600","266910","278110","294210","308970","328350","347530","382240","399630","439230","456670","488750","499380","536810","561140","556740","540700","514600","","",
"Sudan","SDN","CO2 emissions (kt)","EN.ATM.CO2E.KT","1360.457","1386.126","1485.135","1679.486","1859.169","2427.554","2643.907","3186.623","3105.949","4184.047","4855.108","4983.453","5379.489","5427.16","5683.85","4239.052","3755.008","3806.346","3439.646","3571.658","3747.674","3641.331","3828.348","3909.022","3505.652","4074.037","4250.053","3351.638","4847.774","3758.675","5370","4800","4530","3190","4660","4470","4260","5190","4710","5180","5550","6090","7540","7750","8510","10060","12440","13420","14510","14980","15870","15350","15210","14500","15330","17800","20480","20340","20200","","",
"Senegal","SEN","CO2 emissions (kt)","EN.ATM.CO2E.KT","828.742","814.074","814.074","861.745","924.084","1694.154","1719.823","700.397","-80.674","491.378","1309.119","1353.123","1455.799","1551.141","1851.835","2581.568","1774.828","2244.204","2629.239","2900.597","3351.638","3296.633","3054.611","2632.906","3307.634","2676.91","2662.242","2453.223","2742.916","3696.336","2330","2330","2570","2500","2610","2760","2930","3210","3600","3960","4060","4450","4580","4490","5390","5670","5570","6200","6400","6650","7030","7570","7460","8010","8570","9280","9920","9570","9860","","",
"Singapore","SGP","CO2 emissions (kt)","EN.ATM.CO2E.KT","1393.46","2093.857","2577.901","3399.309","3703.67","2530.23","674.728","3058.278","5419.826","7205.655","18210.322","16593.175","22240.355","21220.929","21968.997","24543.231","30036.397","28309.24","33164.348","36123.617","31433.524","26849.774","29750.371","34997.848","33402.703","33417.371","35027.184","32599.63","36105.282","41888.141","29720","31290","32180","37370","39240","38880","39860","39500","37990","38470","42580","42270","41370","38220","39620","36900","37170","38290","38420","38830","42410","44770","43690","43920","44460","45500","46160","47430","47360","","",
"Solomon Islands","SLB","CO2 emissions (kt)","EN.ATM.CO2E.KT","11.001","14.668","14.668","14.668","18.335","25.669","25.669","33.003","36.67","36.67","40.337","47.671","55.005","66.006","66.006","58.672","62.339","80.674","62.339","110.01","102.676","135.679","121.011","143.013","143.013","150.347","154.014","161.348","157.681","161.348","150","160","170","180","190","200","210","210","220","230","240","250","260","270","310","340","330","340","320","330","340","350","360","390","340","310","360","350","370","","",
"Sierra Leone","SLE","CO2 emissions (kt)","EN.ATM.CO2E.KT","715.065","289.693","326.363","370.367","304.361","282.359","300.694","253.023","385.035","1107.434","872.746","803.073","678.395","539.049","520.714","524.381","451.041","513.38","711.398","678.395","608.722","693.063","553.717","689.396","616.056","663.727","674.728","498.712","458.375","374.034","340","360","460","460","480","250","300","230","260","150","400","430","530","580","570","480","630","540","550","550","590","770","890","1070","1180","940","960","970","1020","","",
